Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
687,56518,32592,38262,38262,MRC - Cloud DR,0,2/19/2014,5/30/2014,16,Order Porter Approved,Scott Turner,205,David Henley,163,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
703,56518,32592,38262,38262,Bancomer- Wireless headsets,0,2/20/2014,2/28/2014,16,Order Porter Approved,Scott Turner,205,Wesley Straw,212,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
709,19419,1819,1158,1158,Noble Energy Austin Second Router,0,2/21/2014,3/25/2014,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
726,19419,1819,1158,1158,Noble Energy-Security Switch 28th floor,0,2/25/2014,3/7/2014,16,Order Porter Approved,Elmer Mosbey,173,Wesley Straw,212,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
728,56518,32592,38262,38262,Bancomer-Attendant Console,0,2/25/2014,3/5/2014,16,Order Porter Approved,Scott Turner,205,Wesley Straw,212,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
729,19419,1819,1158,1158,Noble Energy-IPS Licence Change Order,20,2/25/2014,3/31/2014,3,Closing,Elmer Mosbey,173,Wesley Straw,212,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
736,19419,1819,1158,1158,Noble Energy Product Catalog,20,2/26/2014,3/30/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
746,56518,32592,38262,38262,Bancomer Foot stand,0,2/26/2014,3/5/2014,16,Order Porter Approved,Scott Turner,205,Richard Remels,230,205,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
752,19419,1819,1158,1158,Noble-Houston-Budgetary 3650 Switch Quote,0,2/27/2014,3/24/2014,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
753,19420,1836,1159,1159,Loomis-Houston-Smartnet Renewal for 2911s,0,2/27/2014,5/31/2014,14,Negotiating,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
